교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통);,지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통);,공사형태 (공통);,지도표출구분,X좌표,Y좌표,위도,경도
1283,,구암지구대(연등)2,1,1284.0,620.0,491-5 학,290.0,290.0,1,1,,,,1.0,105.0,82-0000003806,,3112061.0,3806,10100.0,,N,195190.43080597,543061.276626151,37.48698733138976,126.9456182019283
1297,,미림여고,1,0.0,620.0,산66-3도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002811,,2088504.0,2811,10200.0,,N,193931.784391581,540763.010641256,37.4662723390836,126.9314056245857
1278,,신림교,3,0.0,620.0,1642-14도,290.0,290.0,1,2,,,,2.0,105.0,82-0000003549,,,3549,10200.0,,N,193695.169881377,542468.813657991,37.48164020191978,126.9287163693282
1279,,남도전기,1,1280.0,620.0,1021대,290.0,290.0,1,2,,,,1.0,105.0,82-0000000879,,3122442.0,879,10100.0,,N,195920.449688715,542958.960894489,37.4860689696044,126.953873089453
1637,,범한택시,3,0.0,590.0,466-60도,,220.0,1,2,,,,1.0,105.0,82-0000000036,,,36,10800.0,,N,193286.500961486,544487.876088117,37.49982921273384,126.9240774722795
1280,,행복한감리교회,1,0.0,620.0,1712 대,290.0,290.0,1,2,,,,1.0,105.0,82-0000003508,,3122143.0,3508,10100.0,,N,195730.644224804,542995.550848212,37.48639779061642,126.951726773905
1281,,국민은행관악,1,1282.0,620.0,1712 대,290.0,290.0,1,2,,,,1.0,105.0,82-0000005248,,3112552.0,5248,10100.0,,N,195474.403942774,543029.351281947,37.48670111585976,126.9488292811296
1282,,현대시장,3,0.0,620.0,502-1도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002816,,,2816,10100.0,,N,195307.211946014,543053.617989095,37.486918926885,126.9469386945403
2856,,한얼길세화회관앞(경보),1,0.0,440.0,479-9대,210.0,210.0,1,2,,,,2.0,108.0,82-0000003211,,,3211,12000.0,,N,192343.282415872,550614.326280285,37.55502124710166,126.9133468572149
1284,,구암지구대,3,0.0,620.0,1718-11 도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004326,,3102862.0,4326,10100.0,,N,195126.004519179,543050.671988014,37.48689144523136,126.94488980441
1298,,미림여고(연등)1,1,1297.0,620.0,808-505 천,290.0,290.0,1,2,,,,1.0,105.0,82-0000005686,,2087584.0,5686,10200.0,,N,193935.179432374,540666.74595616,37.46540500623944,126.9314447936847
1285,,봉천119안전센터,1,1286.0,620.0,982-3도,290.0,290.0,1,2,,,,1.0,105.0,82-0000005247,,,5247,10100.0,,N,194755.238338294,542965.288294222,37.48612010170356,126.9406981667186
1299,,삼성동자치회관(연등)1,2,1300.0,620.0,305-37도,290.0,290.0,1,2,,,,1.0,105.0,82-0000000600,,,600,10200.0,,N,193940.270185613,540584.898525995,37.46466758540292,126.9315030110287
1300,,삼성동자치회관,1,0.0,620.0,310-5도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004279,,,4279,10200.0,,N,193953.299243818,540500.194026834,37.46390447387143,126.9316509814329
2490,,기동대,1,0.0,140.0,193-37도,110.0,110.0,1,2,,,,1.0,108.0,82-0000004417,,,4417,16200.0,,N,201305.722676478,552057.139320329,37.56805181715849,127.0147797917759
1286,,국회단지길입구,1,0.0,620.0,982-3도,290.0,290.0,1,2,,,,1.0,105.0,82-0000003550,,,3550,10100.0,,N,194638.284032326,542973.639619849,37.48619467664944,126.9393757195629
1287,,국회단지길입구(연등)1,3,1286.0,620.0,산 104-9 공,290.0,290.0,1,2,,,,1.0,105.0,82-0000003510,,2192642.0,3510,10100.0,,N,194525.507850636,542983.277335197,37.48628085202014,126.9381005018084
1288,,GS슈퍼마켓(연등),1,3941.0,620.0,870-12대,290.0,290.0,1,2,,,,1.0,105.0,82-0000000220,,3110882.0,220,10100.0,,N,195593.850888743,542164.450111244,37.47890886077442,126.9501850361094
1954,,금천교,3,0.0,540.0,1085도,260.0,260.0,1,2,,,,1.0,105.0,82-0000003756,,,3756,10200.0,,N,189732.944943078,540610.230335773,37.46485869103424,126.8839446499696
1289,,영락고교입구(연등),1,1290.0,620.0,884-27대,290.0,290.0,1,2,,,,1.0,105.0,82-0000000200,,3110382.0,200,10100.0,,N,195356.164289057,542194.999854347,37.47918295318847,126.947497611519
1290,,영락고교입구,1,0.0,620.0,893-27대,290.0,290.0,1,2,,,,1.0,105.0,82-0000003805,,3110092.0,3805,10100.0,,N,195213.696304471,542212.04817073,37.47933583333464,126.9458867834644
6560,,시청입구,2,,140.0,,130.0,130.0,1,2,,,,1.0,108.0,82-0000006230,,3360916.0,6230,10400.0,,N,198151.257693743,551835.912753335,37.56605764556542,126.9790741952052
1301,,서울대푸르지오,2,0.0,620.0,산73-2임,290.0,290.0,1,2,,,,1.0,105.0,82-0000001468,,2086692.0,1468,10200.0,,N,193980.572871223,540243.698752707,37.46159360067242,126.9319613634333
5810,,신양중1(경보),1,0.0,210.0,,230.0,230.0,1,2,,,,2.0,109.0,82-0000003498,,,3498,10600.0,,N,205615.702136357,548132.974740922,37.53267899057207,127.0635354586347
1302,,삼성산성지,1,0.0,620.0,321-12 천,290.0,290.0,1,2,,,,1.0,105.0,82-0000000976,,2086132.0,976,10200.0,,N,193773.589738187,539911.427178887,37.45859842527833,126.9296246042248
6256,,서남병원,2,0.0,470.0,,350.0,350.0,1,2,,,,2.0,104.0,82-0000005571,,,5571,10100.0,,N,185221.67821118,545753.586834703,37.51113946195153,126.832847746037
1303,,국제산장아파트,1,0.0,620.0,산78-8도,290.0,290.0,1,2,,,,1.0,105.0,82-0000003528,,,3528,10200.0,,N,193573.168463463,540075.965771601,37.46007956640463,126.9273578655004
5792,,농협공판장앞,1,0.0,560.0,,170.0,170.0,1,2,,,,2.0,104.0,82-0000005405,,,5405,10700.0,,N,191273.968012888,546892.537454997,37.5214784678477,126.9012893664351
1291,,E편한세상서울대입구,1,1292.0,620.0,912-16대,290.0,290.0,1,2,,,,1.0,105.0,82-0000005392,,3100893.0,5392,10100.0,,N,195089.366690001,542228.704789863,37.47948525882075,126.9444810214482
3113,,구룡사거리,3,0.0,,,210.0,210.0,1,2,,,,1.0,,82-0000001870,,1383732.0,1870,,,N,189071.42670537,553417.349569278,37.58024332857847,126.8762766839801
1304,,난향삼거리(연등),2,5376.0,620.0,산87-11도,290.0,290.0,1,2,,,,1.0,105.0,82-0000000201,,,201,10200.0,,N,193419.866494949,540179.92094897,37.46101513658081,126.9256241751446
1305,,인헌초교,1,0.0,620.0,1679-9 대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002929,,3130422.0,2929,10100.0,,N,196378.73895283,541868.057988272,37.47624174810896,126.9590602644689
1292,,관악성모의원,1,0.0,620.0,979-7도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002050,,3100493.0,2050,10100.0,,N,194902.265519438,542248.482526228,37.47966244506865,126.9423655441603
1293,,쑥고개,1,0.0,620.0,1693-13도,290.0,290.0,1,2,,,,1.0,105.0,82-0000004649,,,4649,10100.0,,N,194693.798426599,542109.354160027,37.47840771302047,126.9400096401691
1306,,서울대교수아파트,1,0.0,620.0,266공,290.0,290.0,1,2,,,,1.0,105.0,82-0000003529,,3038252.0,3529,10100.0,,N,196279.037984041,541015.360967524,37.46855846589723,126.9579374128534
1294,,삼성동주민센터(연등)2,1,1295.0,620.0,112-42대,290.0,290.0,1,2,,,,1.0,105.0,82-0000002232,,2088883.0,2232,10200.0,,N,194091.454416098,541191.348184366,37.47013273868694,126.9332070804609
1307,,낙성현대홈타운,1,0.0,620.0,0-61 가,290.0,290.0,1,2,,,,2.0,105.0,82-0000002930,,,2930,10100.0,,N,196795.200001029,542241.695081021,37.4796097906514,126.9637668889866
8735,,경원타운빌,2,,210.0,669도,230.0,230.0,1,2,,,,2.0,109.0,82-0000008405,,5248361.0,8405,10100.0,,N,,,,
8842,,test1108,1,,230.0,535 도,110.0,110.0,1,1,,,,2.0,109.0,82-0000008512,,5300733.0,8512,10500.0,,N,,,,
1295,,삼성동주민센터,1,0.0,620.0,808-1천,290.0,290.0,1,2,,,,1.0,105.0,82-0000003511,,2088763.0,3511,10200.0,,N,194049.802833363,541095.535296527,37.46926918777147,126.9327370056155
1296,,삼성동주민센터(연등)1,1,1295.0,620.0,808-418천,290.0,290.0,1,2,,,,1.0,105.0,82-0000001467,,2088633.0,1467,10200.0,,N,193979.277469131,540933.915607502,37.46781252123204,126.9319410843058
1308,,호림박물관입구,1,0.0,620.0,526도,290.0,290.0,1,2,,,,1.0,105.0,82-0000001260,,,1260,10200.0,,N,192780.918169254,542565.644648347,37.48250596837552,126.9183787223241
1265,,충무교(연등),1,1264.0,620.0,94-175대,290.0,290.0,1,1,,,,2.0,105.0,82-0000004043,,2190403.0,4043,10200.0,,N,194384.151549755,541759.31545046,37.47525200307047,126.9365115333568
1266,,신림2교,3,0.0,620.0,808-133천,290.0,290.0,1,2,,,,1.0,105.0,82-0000000205,,,205,10200.0,,N,194461.812117275,541962.294309211,37.47708132980385,126.9373879778385
1267,,신본교,1,0.0,620.0,산164-2 임,290.0,290.0,1,2,,,,2.0,105.0,82-0000001198,,2190152.0,1198,10200.0,,N,194249.785920942,542011.656403474,37.47752479220113,126.9349905303012
1268,,신림1교(연등),1,1269.0,,,,,1,1,,,,2.0,,82-0000004008,,399042.0,4008,10200.0,,N,184187.669563735,556450.934553336,37.60750464931745,126.8209219753947
1269,,신림1교,3,0.0,620.0,87-22대,290.0,290.0,1,2,,,,2.0,105.0,82-0000000606,,2180682.0,606,10200.0,,N,193994.869161169,542158.308667904,37.47884452125398,126.9321073564714
1270,,신림교입구(연등),1,1271.0,620.0,1642-9도,290.0,290.0,1,1,,,,1.0,105.0,82-0000002202,,,2202,10200.0,,N,193821.27081366,542384.166022606,37.48087837124252,126.9301427999547
1271,,신림교입구,2,0.0,620.0,1642-9도,290.0,290.0,1,2,,,,1.0,105.0,82-0000002815,,,2815,10200.0,,N,193797.646328247,542554.364850614,37.48241171851155,126.9298742666986
1272,,가야쇼핑,1,0.0,620.0,970-1대,290.0,290.0,1,2,,,,1.0,105.0,82-0000000607,,2182142.0,607,10200.0,,N,193751.584774728,542982.285630846,37.48626700801753,126.9293498503519
1273,,가야쇼핑(연등),2,1272.0,620.0,692-8학,290.0,290.0,1,2,,,,1.0,105.0,82-0000001473,,2182072.0,1473,10200.0,,N,193701.605874929,543126.245858652,37.48756376109031,126.9287835134864
