시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
초등학교,대명초등학교,서울특별시 강동구 상암로 271,서울특별시 강동구 명일2동 234,37.5476037,127.1532701,서울특별시 강동구청,강동경찰서,Y,6,8,2023-08-18,3240000,서울특별시 강동구,6,21
초등학교,강동초등학교,서울특별시 강동구 상암로14길 77,서울특별시 강동구 천호2동 306,37.5463638,127.1301872,서울특별시 강동구청,강동경찰서,Y,5,4,2023-08-18,3240000,서울특별시 강동구,12,54
유치원,연동유치원,서울특별시 종로구 대학로3길 9,서울특별시 종로구 연지동 136-25,37.57398543,127.0013212,서울특별시 종로구청,혜화경찰서,Y,1,6,2023-01-18,3000000,서울특별시 종로구,6,24
유치원,세종유치원,서울특별시 종로구 사직로8길 9,서울특별시 종로구 필운동 278-4,37.575477,126.9700192,서울특별시 종로구청,종로경찰서,Y,1,25,2023-01-18,3000000,서울특별시 종로구,3,15
어린이집,선재어린이집,서울특별시 종로구 우정국로 51-4,서울특별시 종로구 수송동 46-1,37.573435,126.982239,서울특별시 종로구청,종로경찰서,N,0,25~29,2023-01-18,3000000,서울특별시 종로구,3,12
어린이집,상록수 어린이집,서울특별시 종로구 송월1길 73-7,서울특별시 종로구 행촌동 1-140,37.5727172,126.9646048,서울특별시 종로구청,종로경찰서,Y,1,6~8,2023-01-18,3000000,서울특별시 종로구,3,15
유치원,봄샘유치원,서울특별시 종로구 율곡로264,서울특별시 종로구 종로6가 210-1,37.57345547,127.0065566,서울특별시 종로구청,혜화경찰서,Y,2,20,2023-01-18,3000000,서울특별시 종로구,6,24
어린이집,도담도담어린이집,서울특별시 종로구 숭인동길47,서울특별시 종로구 숭인동 746,37.577024,127.0218624,서울특별시 종로구청,혜화경찰서,Y,1,7~9,2023-01-18,3000000,서울특별시 종로구,6,42
어린이집,한빛어린이집,서울특별시 종로구 종로65길 10,서울특별시 종로구 숭인동 178-167,37.574807,127.019976,서울특별시 종로구청,혜화경찰서,Y,2,4~8,2023-01-18,3000000,서울특별시 종로구,12,72
초등학교,창신초등학교,서울특별시 종로구 지봉로 73,서울특별시 종로구 창신동 128-32,37.57621184,127.0142955,서울특별시 종로구청,혜화경찰서,Y,3,6~20,2023-01-18,3000000,서울특별시 종로구,9,57
초등학교,백운초교,서울특별시 도봉구 삼양로146길 17,,37.6532035,127.0139875,도봉구청,도봉경찰서,Y,2,6~24,2019-09-05,3090000,서울특별시 도봉구,3,12
초등학교,방학초교,서울특별시 도봉구 도당로9길 34,,37.6640285,127.0321675,도봉구청,도봉경찰서,Y,3,6~8,2019-09-05,3090000,서울특별시 도봉구,3,12
초등학교,가인초등학교,서울특별시 도봉구 도봉로136다길 4,,37.6599068,127.0431592,도봉구청,도봉경찰서,Y,4,6~40,2019-09-05,3090000,서울특별시 도봉구,9,42
어린이집,쌍문1동,서울특별시 도봉구 노해로 149-5,,37.6482929,127.025917,도봉구청,도봉경찰서,Y,1,6,2019-09-05,3090000,서울특별시 도봉구,3,12
어린이집,세인,서울특별시 도봉구 방학로3길 100,,37.6588094,127.0389515,도봉구청,도봉경찰서,Y,1,6~8,2019-09-05,3090000,서울특별시 도봉구,9,42
어린이집,창4동,서울특별시 도봉구 마들로 339-13,,37.6421639,127.0532892,도봉구청,도봉경찰서,Y,1,8,2019-09-05,3090000,서울특별시 도봉구,3,18
